smiles,CDK2_9606,GSK3B_10090,GSK3A_9606,GSK3B_10116,GSK3B_9606,ABL1_10090,LCK_9606,ZAP70_9606,ABL1_9606,LCK_10090
NC1=NC2=C(C=CC(C3=NN(CC4OCCO4)C4=NC=NC(N)=C34)=C2)O1,,,,,,,,,0.0,
CCCCCCCCCCCC(=O)NNC(=O)C1=C(O)C2=CC=CC=C2N(CC=C(C)C)C1=O,,,,,0.0,,,,,
CC1(C)C2=C(C=CC(C3CCN(CC4CCOCC4)CC3)=C2)C(=O)C2=C1NC1=C2C=CC(C#N)=C1,,,,,,0.0,,,,
FC1=CC(N2C=NC3=C(NCC4=NC5=C(C=CC(F)=C5F)N4)N=C(N4CCOCC4)N=C32)=CC(F)=C1,,,,,,,,,,
CCCN(C(=O)NC1=CC=CC=C1F)C1CCC2=C(C1)SC(NCC1=CC=C(C(=O)O)C=C1)=N2,,,,,0.0,,,,,
CN(C1=NC=NC(NC2=CC=CC=N2)=C1)C1CCCCC1,,,,,,,0.0,,,
CC1=NC(NCCCCCC(=O)NO)=CC(NC2=NC=C(C(=O)NC3=C(C)C=CC=C3Cl)S2)=N1,,,,,,,1.0,,1.0,
COC1=CC(C=C(C(=O)/C=C/C2=CC=C(O)C(OC)=C2)C(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O,,,,,,,,,1.0,
CC1=CC=C(N2N=C(C(C)(C)C)C=C2NC(=O)NC2=CC=C(OC3=NC(NC4=CC=CC5=C4C=CN5)=NC=C3)C3=CC=CC=C23)C=C1,,,0.0,,,,,,,
CC1=CC(NC2=NC(NC3=CC=CC(C(N)=O)=C3)=NC=C2)=CC(O)=C1,,,,,,,,,,1.0
CCNC1=NC=C(NC(=O)C2=CC(NC(=O)C3=CC=CC(C(F)(F)F)=C3)=CC=C2C)C=N1,,,,,,,1.0,,,
COC1=C(OC)C=C(C=CC(=O)NC2=CC(SC3=NC=NN3)=C(O)C3=CC=CC=C23)C=C1,,,,,,,,,0.0,
CC1=C(C2=CC3=CN=C(NC(=O)C4CC4)C=C3C=C2)C=C(NC(=O)C2=CC=C(C3CCN(C)C3)C=C2)C=C1,,,,,,,,,1.0,
C1=CC2=C(C=NN2)C=C1N1C=C(C2CC2)N=N1,,,,,0.0,,,,,
COC1=CC=C(CNC(=O)C(CCC(=O)O)NC(=O)C(CC2=CC=C(NC(=O)C(=O)O)C=C2)NC(C)=O)C=C1,,,,,,,0.0,,,
COC1=C(NC(=O)C2=CSC3=CN=CN=C23)C=C2C=CC=NC2=C1,0.0,,,,,,0.0,,0.0,
CC1(C)NC2=CC=CN=C2NC1=O,,,,,0.0,,,,,
CCCCCCCCCCCC(=O)NNC(=O)C1=C(O)C2=CC=C(Cl)C=C2N(C)C1=O,,,,,0.0,,,,,
NC1=CC=C(C2=CC(=O)C3=C(O2)C(N)=CC(N)=C3)C=C1,,,,,,,0.0,,,
COC1=CC=C(NN=CC2=C(O)C=CC(O)=C2)C=C1,,,,,,,0.0,,,
CC1=C(NC(=O)C2=C(C(=O)O)C=CC=C2C(=O)O)C(=O)N(C2=CC=CC=C2)N1C,,,,,,,,,,
CN1CCN(C2=CC=C(C3=C4N=CC(C5=CC=C(NC(=O)NC6=CC=CC=C6Cl)C=C5)=C(N)N4N=C3)C=C2)CC1,,,,,,,1.0,,,
CN1C=CC2=C1C=CC(C1=NN(C3CCCC3)C3=NC=NC(N)=C13)=C2,,,,,,,,,1.0,
CNC(=O)C1=C(OCC2CC2)N=C(C2=CC(NC(=O)CNCCNC3=C4CCCCC4=NC4=C3C=CC(Cl)=C4)=NC=C2)S1,,,,,1.0,,,,,
COC1=CC=CC=C1C1=CNC2=C1C=C(C1=CC(C(=O)N(C)C)=CN=C1)C=N2,,,,,,,,,1.0,
COC1=CC=CC=C1C1=CC=C2N=C(NC(=O)NCCN3CCN(C)CC3)SC2=C1,,,,,,,,,1.0,
CCOC(=O)C1=C2N=CC=C(C3=CC(NC(=O)C4=CC(C(F)(F)F)=CC=C4)=CC=C3)N2N=C1,,,,,,,0.0,,,
COC1=C(OC)C=C2C(=C1)N=CN2C1=CC(OCC2=CC=CC=C2C(F)(F)F)=C(C(=O)N(C)C)S1,0.0,,0.0,,0.0,,0.0,0.0,0.0,
CC1=CN=C(NC(=O)COC2=CC(O)=C3C(=O)C=C(C4=CC=CC=C4)OC3=C2)C=C1,,,,,,,,,1.0,
CC1=C(NC(=O)C2=CC3=C(C=C2)N=C(NC2=CC=CC(CN4CCOCC4)=N2)S3)C(Cl)=CC=C1,,,,,,,1.0,,,
O=C(NC1=CC=C(OC(F)(F)Cl)C=C1)C1=CN=C(N2CCC(O)C2)C(C2=CC(F)=CN=C2)=C1,,,,,,,,,1.0,
COC1=CC(OC)=C(C=CS(=O)(=O)CC2=CC(NCC(=O)O)=C(OC)C=C2)C(OC)=C1,,,,,,,,,,
COC1=C(O)C=CC(C(=O)NC2=CC=C(NC(=O)C3=CC=CC=C3)C=C2)=C1,0.0,,,,,,,,,
CC(C)CN(C)C(=O)C1=CC2=C(C=C1)C=C(C1=C(C3=CC=CC=C3)C=NN1)N2,,,,,0.0,,,,,
CN1CCN(C2=CC=CC3=C2N=C(C2=NNC4=C2C=CC(C2=CC=C(CN)C=C2)=C4)N3)CC1,0.0,,,,,,,,,
COC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C1=NC2=C(C=C(C3=CC=CS3)C=C2)C(C(=O)NS(C)(=O)=O)=C1,0.0,,,,,,,,,
CC(C)N(CCO)C1=NC(NC2=CC=CC(Cl)=C2)=C2N=CN(C(C)C)C2=N1,,,,,,,,,,
CCCC(=O)NC1=NNC2=C1C=CC(C1=CC=C(F)C=C1)=C2,,,,,0.0,,,,,
O=C1NC(=O)C(C2=CC=CC=C2[N+](=O)[O-])=C1NC1=CC(Cl)=C(O)C=C1,,,1.0,,1.0,,0.0,,,
FC(F)(F)C1=CC=C(C2=CC3=NC=CN=C3N2)C=C1,,,,,0.0,,,,,
NC(=O)C1CCN1C1=NC(CC2=CC=CC=C2)=CC(NC2=NNC(C3CCC3)=C2)=N1,,,,,,,1.0,,,
CN1N=C(N)C2=CN(C3OC(CO)C(O)C3O)C3=C2C1=NC=N3,,,,,,,,,,
CC(C)N1N=C(C2=CC3=C(C=C2)N=C(Cl)C=C3)C2=C(N)N=CN=C21,,,,,,,,,0.0,
CC1=CN=C2C=C(C3=CC=CC=C3)NC2=N1,,,,,0.0,,,,,
CC1=C(NC(=O)C2=CC3=C(C=C2)N=C(NC2=CC=CC=N2)S3)C(Cl)=CC=C1,,,,,,,1.0,,,
O=C(C=CC1=CC=C(C(=O)NC2=CC=CC(NC3=NC=C(C4=CN=CC=C4)S3)=C2)C=C1)NO,,,,,,,,,0.0,
CC1=C(F)C=C(C2=CC3=CN=C(NC(=O)C4CC4)C=C3C=C2)C=N1,,,,,,,,,1.0,
CCCC(=O)NC1=NNC2=CC(C3=CC=C(O)C=C3)=C(C3=CC=C(O)C=C3)C=C12,,,,,1.0,,,,,
NC(=O)C1=CC2=C(C=C1)N=C(C1=CC=C(OC3=CC=C(Cl)C=C3)C=C1)N2,,,,,,,,,,
CSC1=NC(NCCC2=CC=CC=C2)=C2C=NN(CC(Br)C3=CC=CC=C3)C2=N1,,,,,,,,,1.0,
CC1=CC(NC2=NC3=C(C=C(C(=O)NC4=C(C)C=CC=C4Cl)C=C3)S2)=NC=N1,,,,,,,1.0,,,
CC1=CC2=C(OC(C3=CC(O)=C(O)C=C3)=C(O)C2=O)C(N)=C1,1.0,,,,,,,,,
O=C1NC(=O)C(C2=CC=CC=C2Cl)=C1NC1=CC(Cl)=C(O)C=C1,,,0.0,,1.0,,,,,
CN(C)S(=O)(=O)C1=CC=C(NC2=CC(N[C@H]3CC[C@H](N)CC3)=NC3=C(Br)C=NN23)C=C1Cl,1.0,,,,0.0,,,,,
CC(=O)NS(=O)(=O)C1=CC=C(N=CC2=C(O)NC3=C2C2=C(C=C3)N=CS2)C=C1,1.0,,,,,,,,,
CC1=C(C(=O)NC2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3)N=C2)C=C(C(=O)NC2=CC=CC(C(F)(F)F)=C2)C=C1,,,,,,,1.0,,,
CCOC1=CC2=NC=NC(NC3=CC=CC(Br)=C3)=C2C=C1OCC,,,,,,,0.0,,0.0,
CC(=O)NC(CC1=CC=C(OP(=O)(O)O)C=C1)C(=O)NC(CC(C)C)C(=O)NCC1=CC=C(C(C)(C)C)C=C1,,,,,,,0.0,,,
CN(C)C(=O)C1=CC2=CN=C(NC3=CC=C(CN4CCC(O)CC4)C=N3)N=C2N1C1CCCC1,0.0,,,,,,,,,
CCNC(=O)NC1=NC2=C(C=C(C3=CC=CC=C3C)C=C2)N1,,,,,,,,,1.0,
COC1=CC(C)=CC=C1OC1=NC(NC2=CC=C(N3CCOCC3)C=C2)=NC=C1NC(=O)NC1=CC(Cl)=CC(Cl)=C1,,,,,,,0.0,,,
NC1=NC=CC(C2=CNC3=C2C=CC(C(F)(F)F)=C3)=N1,,,,,0.0,,,,,
CN1N=C(C(N)=O)C=C1C1=CC(NC(=O)C2CC2)=NC=C1,,,,,1.0,,,,,
CC1=CC(OC2=NC(N3CCCC3C(=O)NCCCN3C=CN=C3)=NC=C2)=CC=C1,0.0,,,,,,0.0,0.0,0.0,
O=C1NC2=C(C1=CC1=CN=CN1)C1=C(C=C2)N=CS1,,,0.0,,0.0,,0.0,,0.0,
CC1=CC=C(NC(=O)C2COCCO2)C=C1C1=CC=C2C=C(NC(=O)C3CC3)N=CC2=C1,,,,,,,,,1.0,
COC1=C(NS(=O)(=O)C2=CC=CC=C2)C=CC(C2=NN(C3CCC(N4CCN(C)CC4)CC3)C3=NC=NC(N)=C23)=C1,,,,,,,0.0,,,
CC1=CC=CC(C)=C1NC1=NC2=CC=CC([N+](=O)[O-])=C2N2C=NC=C12,,,,,,,1.0,,,
CCSC1=NN2C(CC3=CC=CC=C3)=NN=C2S1,0.0,,,,,,,,,
CC(C)COC1=NC2=C(C(C)C)C=NN2C(NC2=CC=C(S(C)(=O)=O)C=C2)=C1,0.0,,,,0.0,,,,,
CC1=CC=C(C(=O)NC2(C)COC2)C=C1C1=CC=C2C=C(N)N=CC2=C1,,,,,,,,,1.0,
CN1C(N2CCOC(C3=C(F)C=CC=C3Cl)C2)=NC(C2=NC=NC=C2)=CC1=O,,,,,1.0,,,,,
COC1=C(N)C=CC(C2=CC3=NSC(N4CC(C)OC(C)C4)=C3N=C2)=C1,,,,,,,,,,
COCCN1C=C(C2=C(C3=COC4=CC=CC=C34)C(=O)NC2=O)C2=CC(F)=CC=C21,,,,,1.0,,,,,
OC1=CC=C(NC2=NC(C3=CC=C(Cl)C=C3)=CS2)C=C1,,,,,,,,,,
